"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"03.01.2016 21:00 - 03.01.2016 21:15","45322","51336"
"03.01.2016 21:15 - 03.01.2016 21:30","45047","51054"
"03.01.2016 21:30 - 03.01.2016 21:45","44982","50637"
"03.01.2016 21:45 - 03.01.2016 22:00","44877","50819"
"03.01.2016 22:00 - 03.01.2016 22:15","45635","51668"
"03.01.2016 22:15 - 03.01.2016 22:30","45761","51031"
"03.01.2016 22:30 - 03.01.2016 22:45","44887","49989"
"03.01.2016 22:45 - 03.01.2016 23:00","44115","49313"
"03.01.2016 23:00 - 03.01.2016 23:15","43573","48594"
"03.01.2016 23:15 - 03.01.2016 23:30","43124","48134"
"03.01.2016 23:30 - 03.01.2016 23:45","42143","47282"
"03.01.2016 23:45 - 04.01.2016 00:00","41478","46184"
"04.01.2016 00:00 - 04.01.2016 00:15","39862","45873"
"04.01.2016 00:15 - 04.01.2016 00:30","39990","45005"
"04.01.2016 00:30 - 04.01.2016 00:45","39559","44452"
"04.01.2016 00:45 - 04.01.2016 01:00","39140","44087"
"04.01.2016 01:00 - 04.01.2016 01:15","38838","43463"
"04.01.2016 01:15 - 04.01.2016 01:30","38545","43249"
"04.01.2016 01:30 - 04.01.2016 01:45","38253","42968"
"04.01.2016 01:45 - 04.01.2016 02:00","38027","42502"
"04.01.2016 02:00 - 04.01.2016 02:15","37873","42176"
"04.01.2016 02:15 - 04.01.2016 02:30","37611","41899"
"04.01.2016 02:30 - 04.01.2016 02:45","37501","41857"
"04.01.2016 02:45 - 04.01.2016 03:00","37406","41871"
"04.01.2016 03:00 - 04.01.2016 03:15","37663","41854"
"04.01.2016 03:15 - 04.01.2016 03:30","37378","41885"
"04.01.2016 03:30 - 04.01.2016 03:45","37572","41882"
"04.01.2016 03:45 - 04.01.2016 04:00","37399","42082"
"04.01.2016 04:00 - 04.01.2016 04:15","37596","42707"
"04.01.2016 04:15 - 04.01.2016 04:30","38339","43181"
"04.01.2016 04:30 - 04.01.2016 04:45","38200","43499"
"04.01.2016 04:45 - 04.01.2016 05:00","38604","44038"
"04.01.2016 05:00 - 04.01.2016 05:15","39574","45146"
"04.01.2016 05:15 - 04.01.2016 05:30","39424","45705"
"04.01.2016 05:30 - 04.01.2016 05:45","40160","46819"
"04.01.2016 05:45 - 04.01.2016 06:00","41004","47873"
"04.01.2016 06:00 - 04.01.2016 06:15","42531","49927"
"04.01.2016 06:15 - 04.01.2016 06:30","43391","51938"
"04.01.2016 06:30 - 04.01.2016 06:45","44734","53399"
"04.01.2016 06:45 - 04.01.2016 07:00","46476","54356"
"04.01.2016 07:00 - 04.01.2016 07:15","47140","56358"
"04.01.2016 07:15 - 04.01.2016 07:30","48284","57801"
"04.01.2016 07:30 - 04.01.2016 07:45","50382","59213"
"04.01.2016 07:45 - 04.01.2016 08:00","51033","60449"
"04.01.2016 08:00 - 04.01.2016 08:15","51757","61278"
"04.01.2016 08:15 - 04.01.2016 08:30","51669","61958"
"04.01.2016 08:30 - 04.01.2016 08:45","52220","62206"
"04.01.2016 08:45 - 04.01.2016 09:00","52336","62642"
"04.01.2016 09:00 - 04.01.2016 09:15","52798","62886"
