"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"12.08.2016 05:00 - 12.08.2016 05:15","43385","43988"
"12.08.2016 05:15 - 12.08.2016 05:30","44022","44891"
"12.08.2016 05:30 - 12.08.2016 05:45","44980","46025"
"12.08.2016 05:45 - 12.08.2016 06:00","46272","47074"
"12.08.2016 06:00 - 12.08.2016 06:15","48676","49702"
"12.08.2016 06:15 - 12.08.2016 06:30","50426","51168"
"12.08.2016 06:30 - 12.08.2016 06:45","51905","52558"
"12.08.2016 06:45 - 12.08.2016 07:00","53126","53871"
"12.08.2016 07:00 - 12.08.2016 07:15","54555","55492"
"12.08.2016 07:15 - 12.08.2016 07:30","56185","56829"
"12.08.2016 07:30 - 12.08.2016 07:45","57414","58273"
"12.08.2016 07:45 - 12.08.2016 08:00","58320","59236"
"12.08.2016 08:00 - 12.08.2016 08:15","59254","60317"
"12.08.2016 08:15 - 12.08.2016 08:30","59581","61014"
"12.08.2016 08:30 - 12.08.2016 08:45","60019","61644"
"12.08.2016 08:45 - 12.08.2016 09:00","60147","62042"
"12.08.2016 09:00 - 12.08.2016 09:15","60198","61844"
"12.08.2016 09:15 - 12.08.2016 09:30","60757","62344"
"12.08.2016 09:30 - 12.08.2016 09:45","61084","62920"
"12.08.2016 09:45 - 12.08.2016 10:00","61408","63245"
"12.08.2016 10:00 - 12.08.2016 10:15","61644","63698"
"12.08.2016 10:15 - 12.08.2016 10:30","61726","64040"
"12.08.2016 10:30 - 12.08.2016 10:45","62023","64293"
"12.08.2016 10:45 - 12.08.2016 11:00","62380","64966"
"12.08.2016 11:00 - 12.08.2016 11:15","62710","65152"
"12.08.2016 11:15 - 12.08.2016 11:30","62957","65597"
"12.08.2016 11:30 - 12.08.2016 11:45","63283","65824"
"12.08.2016 11:45 - 12.08.2016 12:00","62873","65635"
"12.08.2016 12:00 - 12.08.2016 12:15","62379","64926"
"12.08.2016 12:15 - 12.08.2016 12:30","62494","64396"
"12.08.2016 12:30 - 12.08.2016 12:45","62119","63987"
"12.08.2016 12:45 - 12.08.2016 13:00","61831","64030"
"12.08.2016 13:00 - 12.08.2016 13:15","61370","63416"
"12.08.2016 13:15 - 12.08.2016 13:30","61297","62566"
"12.08.2016 13:30 - 12.08.2016 13:45","60508","62171"
"12.08.2016 13:45 - 12.08.2016 14:00","60090","61990"
"12.08.2016 14:00 - 12.08.2016 14:15","59768","61616"
"12.08.2016 14:15 - 12.08.2016 14:30","59246","61604"
"12.08.2016 14:30 - 12.08.2016 14:45","59144","61317"
"12.08.2016 14:45 - 12.08.2016 15:00","59062","60902"
"12.08.2016 15:00 - 12.08.2016 15:15","59133","60694"
"12.08.2016 15:15 - 12.08.2016 15:30","58309","60618"
"12.08.2016 15:30 - 12.08.2016 15:45","58177","60325"
"12.08.2016 15:45 - 12.08.2016 16:00","57720","60042"
"12.08.2016 16:00 - 12.08.2016 16:15","57727","59589"
"12.08.2016 16:15 - 12.08.2016 16:30","57646","59633"
"12.08.2016 16:30 - 12.08.2016 16:45","57631","59520"
"12.08.2016 16:45 - 12.08.2016 17:00","56986","59247"
"12.08.2016 17:00 - 12.08.2016 17:15","56846","59047"
"12.08.2016 17:15 - 12.08.2016 17:30","56921","59258"
"12.08.2016 17:30 - 12.08.2016 17:45","56920","59383"
"12.08.2016 17:45 - 12.08.2016 18:00","56900","59032"
"12.08.2016 18:00 - 12.08.2016 18:15","56646","58538"
"12.08.2016 18:15 - 12.08.2016 18:30","56270","58433"
"12.08.2016 18:30 - 12.08.2016 18:45","56215","58455"
"12.08.2016 18:45 - 12.08.2016 19:00","56227","57957"
"12.08.2016 19:00 - 12.08.2016 19:15","55861","57753"
"12.08.2016 19:15 - 12.08.2016 19:30","55451","57375"
"12.08.2016 19:30 - 12.08.2016 19:45","55082","56931"
"12.08.2016 19:45 - 12.08.2016 20:00","54830","56520"
"12.08.2016 20:00 - 12.08.2016 20:15","54179","55857"
"12.08.2016 20:15 - 12.08.2016 20:30","53443","55005"
"12.08.2016 20:30 - 12.08.2016 20:45","52919","54283"
"12.08.2016 20:45 - 12.08.2016 21:00","52397","53924"
"12.08.2016 21:00 - 12.08.2016 21:15","51948","53858"
"12.08.2016 21:15 - 12.08.2016 21:30","52081","53802"
"12.08.2016 21:30 - 12.08.2016 21:45","51685","52772"
"12.08.2016 21:45 - 12.08.2016 22:00","51076","51820"
"12.08.2016 22:00 - 12.08.2016 22:15","50248","51095"
"12.08.2016 22:15 - 12.08.2016 22:30","49357","50058"
"12.08.2016 22:30 - 12.08.2016 22:45","48566","48989"
"12.08.2016 22:45 - 12.08.2016 23:00","47328","47939"
"12.08.2016 23:00 - 12.08.2016 23:15","45917","46842"
"12.08.2016 23:15 - 12.08.2016 23:30","45105","46029"
"12.08.2016 23:30 - 12.08.2016 23:45","44280","45262"
"12.08.2016 23:45 - 13.08.2016 00:00","43355","44372"
"13.08.2016 00:00 - 13.08.2016 00:15","42614","43441"
"13.08.2016 00:15 - 13.08.2016 00:30","42090","43038"
"13.08.2016 00:30 - 13.08.2016 00:45","41644","42346"
"13.08.2016 00:45 - 13.08.2016 01:00","41176","41758"
"13.08.2016 01:00 - 13.08.2016 01:15","40518","41268"
"13.08.2016 01:15 - 13.08.2016 01:30","39972","41007"
"13.08.2016 01:30 - 13.08.2016 01:45","39624","40768"
"13.08.2016 01:45 - 13.08.2016 02:00","39303","40180"
"13.08.2016 02:00 - 13.08.2016 02:15","38904","39928"
"13.08.2016 02:15 - 13.08.2016 02:30","38733","39798"
"13.08.2016 02:30 - 13.08.2016 02:45","38560","39680"
"13.08.2016 02:45 - 13.08.2016 03:00","38469","39363"
"13.08.2016 03:00 - 13.08.2016 03:15","38523","39178"
"13.08.2016 03:15 - 13.08.2016 03:30","38376","39230"
"13.08.2016 03:30 - 13.08.2016 03:45","38349","39371"
"13.08.2016 03:45 - 13.08.2016 04:00","38250","38932"
"13.08.2016 04:00 - 13.08.2016 04:15","38383","38947"
"13.08.2016 04:15 - 13.08.2016 04:30","38432","39170"
"13.08.2016 04:30 - 13.08.2016 04:45","38471","39090"
"13.08.2016 04:45 - 13.08.2016 05:00","38491","39016"
"13.08.2016 05:00 - 13.08.2016 05:15","39002","39540"
"13.08.2016 05:15 - 13.08.2016 05:30","39001","39820"
"13.08.2016 05:30 - 13.08.2016 05:45","39114","39806"
"13.08.2016 05:45 - 13.08.2016 06:00","39134","39864"
"13.08.2016 06:00 - 13.08.2016 06:15","39603","40212"
"13.08.2016 06:15 - 13.08.2016 06:30","40077","40809"
"13.08.2016 06:30 - 13.08.2016 06:45","40348","41325"
"13.08.2016 06:45 - 13.08.2016 07:00","40938","41892"
"13.08.2016 07:00 - 13.08.2016 07:15","41794","42975"
"13.08.2016 07:15 - 13.08.2016 07:30","42743","44229"
"13.08.2016 07:30 - 13.08.2016 07:45","44164","45359"
"13.08.2016 07:45 - 13.08.2016 08:00","45050","46453"
"13.08.2016 08:00 - 13.08.2016 08:15","46387","47719"
"13.08.2016 08:15 - 13.08.2016 08:30","46780","48609"
"13.08.2016 08:30 - 13.08.2016 08:45","47715","49356"
"13.08.2016 08:45 - 13.08.2016 09:00","48446","50228"
"13.08.2016 09:00 - 13.08.2016 09:15","49203","51026"
"13.08.2016 09:15 - 13.08.2016 09:30","50135","51613"
"13.08.2016 09:30 - 13.08.2016 09:45","50504","52327"
"13.08.2016 09:45 - 13.08.2016 10:00","50850","52811"
"13.08.2016 10:00 - 13.08.2016 10:15","51506","53407"
"13.08.2016 10:15 - 13.08.2016 10:30","51774","53928"
"13.08.2016 10:30 - 13.08.2016 10:45","51955","54755"
"13.08.2016 10:45 - 13.08.2016 11:00","52804","55054"
"13.08.2016 11:00 - 13.08.2016 11:15","52807","55538"
"13.08.2016 11:15 - 13.08.2016 11:30","53408","55718"
"13.08.2016 11:30 - 13.08.2016 11:45","53378","55733"
"13.08.2016 11:45 - 13.08.2016 12:00","53184","55533"
"13.08.2016 12:00 - 13.08.2016 12:15","53299","55040"
"13.08.2016 12:15 - 13.08.2016 12:30","52968","54507"
"13.08.2016 12:30 - 13.08.2016 12:45","52296","54049"
"13.08.2016 12:45 - 13.08.2016 13:00","52138","53658"
"13.08.2016 13:00 - 13.08.2016 13:15","51318","53102"
"13.08.2016 13:15 - 13.08.2016 13:30","51106","52645"
"13.08.2016 13:30 - 13.08.2016 13:45","50832","52083"
"13.08.2016 13:45 - 13.08.2016 14:00","50439","51809"
"13.08.2016 14:00 - 13.08.2016 14:15","50143","51630"
"13.08.2016 14:15 - 13.08.2016 14:30","49404","51260"
"13.08.2016 14:30 - 13.08.2016 14:45","49084","50815"
"13.08.2016 14:45 - 13.08.2016 15:00","49336","50440"
"13.08.2016 15:00 - 13.08.2016 15:15","49392","50166"
"13.08.2016 15:15 - 13.08.2016 15:30","48836","49881"
"13.08.2016 15:30 - 13.08.2016 15:45","48352","49971"
"13.08.2016 15:45 - 13.08.2016 16:00","48106","49765"
"13.08.2016 16:00 - 13.08.2016 16:15","47753","49487"
"13.08.2016 16:15 - 13.08.2016 16:30","48519","49417"
"13.08.2016 16:30 - 13.08.2016 16:45","48202","49314"
"13.08.2016 16:45 - 13.08.2016 17:00","47901","49174"
"13.08.2016 17:00 - 13.08.2016 17:15","48038","49586"
"13.08.2016 17:15 - 13.08.2016 17:30","48055","49497"
"13.08.2016 17:30 - 13.08.2016 17:45","48703","49445"
"13.08.2016 17:45 - 13.08.2016 18:00","48549","49434"
"13.08.2016 18:00 - 13.08.2016 18:15","48621","49410"
"13.08.2016 18:15 - 13.08.2016 18:30","48690","49538"
"13.08.2016 18:30 - 13.08.2016 18:45","48839","49376"
"13.08.2016 18:45 - 13.08.2016 19:00","48520","49177"
"13.08.2016 19:00 - 13.08.2016 19:15","48605","48901"
"13.08.2016 19:15 - 13.08.2016 19:30","48301","48472"
"13.08.2016 19:30 - 13.08.2016 19:45","47807","48374"
"13.08.2016 19:45 - 13.08.2016 20:00","47147","47936"
"13.08.2016 20:00 - 13.08.2016 20:15","47005","47183"
"13.08.2016 20:15 - 13.08.2016 20:30","46608","46430"
"13.08.2016 20:30 - 13.08.2016 20:45","45639","45994"
"13.08.2016 20:45 - 13.08.2016 21:00","45618","46263"
"13.08.2016 21:00 - 13.08.2016 21:15","45237","46718"
"13.08.2016 21:15 - 13.08.2016 21:30","45321","46790"
"13.08.2016 21:30 - 13.08.2016 21:45","45675","46519"
"13.08.2016 21:45 - 13.08.2016 22:00","45771","45866"
"13.08.2016 22:00 - 13.08.2016 22:15","45493","44995"
"13.08.2016 22:15 - 13.08.2016 22:30","44694","44428"
"13.08.2016 22:30 - 13.08.2016 22:45","43730","43784"
"13.08.2016 22:45 - 13.08.2016 23:00","42942","42765"
"13.08.2016 23:00 - 13.08.2016 23:15","41738","41854"
"13.08.2016 23:15 - 13.08.2016 23:30","41344","41269"
"13.08.2016 23:30 - 13.08.2016 23:45","40516","40621"
"13.08.2016 23:45 - 14.08.2016 00:00","39778","40051"
"14.08.2016 00:00 - 14.08.2016 00:15","38055","39597"
"14.08.2016 00:15 - 14.08.2016 00:30","37550","39136"
"14.08.2016 00:30 - 14.08.2016 00:45","37079","38450"
"14.08.2016 00:45 - 14.08.2016 01:00","36576","37946"
"14.08.2016 01:00 - 14.08.2016 01:15","36067","37338"
"14.08.2016 01:15 - 14.08.2016 01:30","35578","37085"
"14.08.2016 01:30 - 14.08.2016 01:45","35333","36638"
"14.08.2016 01:45 - 14.08.2016 02:00","35088","36287"
"14.08.2016 02:00 - 14.08.2016 02:15","34781","35773"
"14.08.2016 02:15 - 14.08.2016 02:30","34690","35704"
"14.08.2016 02:30 - 14.08.2016 02:45","34553","35575"
"14.08.2016 02:45 - 14.08.2016 03:00","34398","35378"
"14.08.2016 03:00 - 14.08.2016 03:15","34308","35404"
"14.08.2016 03:15 - 14.08.2016 03:30","34278","35321"
"14.08.2016 03:30 - 14.08.2016 03:45","34293","35222"
"14.08.2016 03:45 - 14.08.2016 04:00","34093","34909"
"14.08.2016 04:00 - 14.08.2016 04:15","34228","34942"
"14.08.2016 04:15 - 14.08.2016 04:30","34178","34987"
"14.08.2016 04:30 - 14.08.2016 04:45","34220","34938"
"14.08.2016 04:45 - 14.08.2016 05:00","34216","35196"
"14.08.2016 05:00 - 14.08.2016 05:15","34554","35517"
"14.08.2016 05:15 - 14.08.2016 05:30","34512","35372"
"14.08.2016 05:30 - 14.08.2016 05:45","34436","35341"
"14.08.2016 05:45 - 14.08.2016 06:00","34359","35214"
"14.08.2016 06:00 - 14.08.2016 06:15","34480","35146"
"14.08.2016 06:15 - 14.08.2016 06:30","34660","35314"
"14.08.2016 06:30 - 14.08.2016 06:45","34881","35571"
"14.08.2016 06:45 - 14.08.2016 07:00","34995","35933"
"14.08.2016 07:00 - 14.08.2016 07:15","35722","36377"
"14.08.2016 07:15 - 14.08.2016 07:30","36438","37053"
"14.08.2016 07:30 - 14.08.2016 07:45","37755","38005"
"14.08.2016 07:45 - 14.08.2016 08:00","38582","38636"
"14.08.2016 08:00 - 14.08.2016 08:15","39515","39428"
"14.08.2016 08:15 - 14.08.2016 08:30","40107","40386"
"14.08.2016 08:30 - 14.08.2016 08:45","41175","41074"
"14.08.2016 08:45 - 14.08.2016 09:00","41949","41812"
"14.08.2016 09:00 - 14.08.2016 09:15","42807","42939"
"14.08.2016 09:15 - 14.08.2016 09:30","43691","43726"
"14.08.2016 09:30 - 14.08.2016 09:45","44183","44443"
"14.08.2016 09:45 - 14.08.2016 10:00","45049","45255"
"14.08.2016 10:00 - 14.08.2016 10:15","45664","45782"
"14.08.2016 10:15 - 14.08.2016 10:30","46184","46285"
"14.08.2016 10:30 - 14.08.2016 10:45","46567","46839"
"14.08.2016 10:45 - 14.08.2016 11:00","47193","46996"
"14.08.2016 11:00 - 14.08.2016 11:15","47827","47850"
"14.08.2016 11:15 - 14.08.2016 11:30","48416","48599"
"14.08.2016 11:30 - 14.08.2016 11:45","48899","49086"
"14.08.2016 11:45 - 14.08.2016 12:00","48453","49191"
"14.08.2016 12:00 - 14.08.2016 12:15","49072","49141"
"14.08.2016 12:15 - 14.08.2016 12:30","48597","48962"
"14.08.2016 12:30 - 14.08.2016 12:45","47889","48364"
"14.08.2016 12:45 - 14.08.2016 13:00","47940","47739"
"14.08.2016 13:00 - 14.08.2016 13:15","46808","47162"
"14.08.2016 13:15 - 14.08.2016 13:30","46674","46426"
"14.08.2016 13:30 - 14.08.2016 13:45","46261","45999"
"14.08.2016 13:45 - 14.08.2016 14:00","45912","45612"
"14.08.2016 14:00 - 14.08.2016 14:15","45472","45620"
"14.08.2016 14:15 - 14.08.2016 14:30","45075","44939"
"14.08.2016 14:30 - 14.08.2016 14:45","44818","44789"
"14.08.2016 14:45 - 14.08.2016 15:00","44713","44191"
"14.08.2016 15:00 - 14.08.2016 15:15","44786","44276"
"14.08.2016 15:15 - 14.08.2016 15:30","44330","44057"
"14.08.2016 15:30 - 14.08.2016 15:45","44080","43795"
"14.08.2016 15:45 - 14.08.2016 16:00","44423","43353"
"14.08.2016 16:00 - 14.08.2016 16:15","44245","43450"
"14.08.2016 16:15 - 14.08.2016 16:30","44413","43133"
"14.08.2016 16:30 - 14.08.2016 16:45","44020","43273"
"14.08.2016 16:45 - 14.08.2016 17:00","44237","43457"
"14.08.2016 17:00 - 14.08.2016 17:15","45050","44156"
"14.08.2016 17:15 - 14.08.2016 17:30","44753","44226"
"14.08.2016 17:30 - 14.08.2016 17:45","45441","44478"
"14.08.2016 17:45 - 14.08.2016 18:00","45444","44784"
"14.08.2016 18:00 - 14.08.2016 18:15","45886","45408"
"14.08.2016 18:15 - 14.08.2016 18:30","45910","45634"
"14.08.2016 18:30 - 14.08.2016 18:45","46392","45906"
"14.08.2016 18:45 - 14.08.2016 19:00","46254","45818"
"14.08.2016 19:00 - 14.08.2016 19:15","46671","45868"
"14.08.2016 19:15 - 14.08.2016 19:30","46553","45686"
"14.08.2016 19:30 - 14.08.2016 19:45","46247","45554"
"14.08.2016 19:45 - 14.08.2016 20:00","45909","45386"
"14.08.2016 20:00 - 14.08.2016 20:15","46283","45286"
"14.08.2016 20:15 - 14.08.2016 20:30","46005","45059"
"14.08.2016 20:30 - 14.08.2016 20:45","45273","45222"
"14.08.2016 20:45 - 14.08.2016 21:00","45333","45347"
"14.08.2016 21:00 - 14.08.2016 21:15","45158","46130"
"14.08.2016 21:15 - 14.08.2016 21:30","45552","46334"
"14.08.2016 21:30 - 14.08.2016 21:45","45935","45799"
"14.08.2016 21:45 - 14.08.2016 22:00","46011","45506"
"14.08.2016 22:00 - 14.08.2016 22:15","45876","45611"
"14.08.2016 22:15 - 14.08.2016 22:30","45118","44964"
"14.08.2016 22:30 - 14.08.2016 22:45","44136","44306"
"14.08.2016 22:45 - 14.08.2016 23:00","43137","43517"
"14.08.2016 23:00 - 14.08.2016 23:15","42062","42414"
"14.08.2016 23:15 - 14.08.2016 23:30","41248","41465"
"14.08.2016 23:30 - 14.08.2016 23:45","40396","40656"
"14.08.2016 23:45 - 15.08.2016 00:00","39777","40300"
"15.08.2016 00:00 - 15.08.2016 00:15","39083","39930"
"15.08.2016 00:15 - 15.08.2016 00:30","38563","39264"
"15.08.2016 00:30 - 15.08.2016 00:45","38210","38735"
"15.08.2016 00:45 - 15.08.2016 01:00","37659","38247"
"15.08.2016 01:00 - 15.08.2016 01:15","37269","37832"
"15.08.2016 01:15 - 15.08.2016 01:30","36765","37465"
"15.08.2016 01:30 - 15.08.2016 01:45","36593","37155"
"15.08.2016 01:45 - 15.08.2016 02:00","36391","36989"
"15.08.2016 02:00 - 15.08.2016 02:15","36184","36714"
"15.08.2016 02:15 - 15.08.2016 02:30","36160","36572"
"15.08.2016 02:30 - 15.08.2016 02:45","36146","36498"
"15.08.2016 02:45 - 15.08.2016 03:00","36075","36496"
"15.08.2016 03:00 - 15.08.2016 03:15","36169","36735"
"15.08.2016 03:15 - 15.08.2016 03:30","36166","36807"
"15.08.2016 03:30 - 15.08.2016 03:45","36317","36771"
"15.08.2016 03:45 - 15.08.2016 04:00","36309","36934"
"15.08.2016 04:00 - 15.08.2016 04:15","36982","37357"
"15.08.2016 04:15 - 15.08.2016 04:30","37228","37649"
"15.08.2016 04:30 - 15.08.2016 04:45","37776","38255"
"15.08.2016 04:45 - 15.08.2016 05:00","38204","38714"
"15.08.2016 05:00 - 15.08.2016 05:15","39530","39971"
"15.08.2016 05:15 - 15.08.2016 05:30","40313","40948"
"15.08.2016 05:30 - 15.08.2016 05:45","41596","42068"
"15.08.2016 05:45 - 15.08.2016 06:00","42910","42967"
"15.08.2016 06:00 - 15.08.2016 06:15","45508","45213"
"15.08.2016 06:15 - 15.08.2016 06:30","47701","47083"
"15.08.2016 06:30 - 15.08.2016 06:45","49191","48635"
"15.08.2016 06:45 - 15.08.2016 07:00","50373","50000"
"15.08.2016 07:00 - 15.08.2016 07:15","52164","51549"
"15.08.2016 07:15 - 15.08.2016 07:30","53265","53116"
"15.08.2016 07:30 - 15.08.2016 07:45","54395","54241"
"15.08.2016 07:45 - 15.08.2016 08:00","55627","55309"
"15.08.2016 08:00 - 15.08.2016 08:15","56580","56332"
"15.08.2016 08:15 - 15.08.2016 08:30","57082","57095"
"15.08.2016 08:30 - 15.08.2016 08:45","57551","57784"
"15.08.2016 08:45 - 15.08.2016 09:00","58125","58295"
"15.08.2016 09:00 - 15.08.2016 09:15","58144","58326"
"15.08.2016 09:15 - 15.08.2016 09:30","58975","58926"
"15.08.2016 09:30 - 15.08.2016 09:45","59310","59530"
"15.08.2016 09:45 - 15.08.2016 10:00","59833","60031"
"15.08.2016 10:00 - 15.08.2016 10:15","60325","60212"
"15.08.2016 10:15 - 15.08.2016 10:30","60577","60763"
"15.08.2016 10:30 - 15.08.2016 10:45","61130","61322"
"15.08.2016 10:45 - 15.08.2016 11:00","61381","61896"
"15.08.2016 11:00 - 15.08.2016 11:15","61823","62048"
"15.08.2016 11:15 - 15.08.2016 11:30","62364","62572"
"15.08.2016 11:30 - 15.08.2016 11:45","62804","63238"
"15.08.2016 11:45 - 15.08.2016 12:00","62933","63226"
"15.08.2016 12:00 - 15.08.2016 12:15","61744","62593"
"15.08.2016 12:15 - 15.08.2016 12:30","61188","62609"
"15.08.2016 12:30 - 15.08.2016 12:45","61444","62583"
"15.08.2016 12:45 - 15.08.2016 13:00","60716","62765"
"15.08.2016 13:00 - 15.08.2016 13:15","61479","62388"
"15.08.2016 13:15 - 15.08.2016 13:30","60878","61898"
"15.08.2016 13:30 - 15.08.2016 13:45","60590","61753"
"15.08.2016 13:45 - 15.08.2016 14:00","60692","61020"
"15.08.2016 14:00 - 15.08.2016 14:15","60357","61016"
"15.08.2016 14:15 - 15.08.2016 14:30","60097","61053"
"15.08.2016 14:30 - 15.08.2016 14:45","59292","61065"
"15.08.2016 14:45 - 15.08.2016 15:00","59299","60518"
"15.08.2016 15:00 - 15.08.2016 15:15","58816","60197"
"15.08.2016 15:15 - 15.08.2016 15:30","58989","59880"
"15.08.2016 15:30 - 15.08.2016 15:45","58651","59420"
"15.08.2016 15:45 - 15.08.2016 16:00","58134","58663"
"15.08.2016 16:00 - 15.08.2016 16:15","57393","58266"
"15.08.2016 16:15 - 15.08.2016 16:30","56928","57900"
"15.08.2016 16:30 - 15.08.2016 16:45","55875","57359"
"15.08.2016 16:45 - 15.08.2016 17:00","56936","57130"
"15.08.2016 17:00 - 15.08.2016 17:15","56790","57069"
"15.08.2016 17:15 - 15.08.2016 17:30","56693","57157"
"15.08.2016 17:30 - 15.08.2016 17:45","56321","57288"
"15.08.2016 17:45 - 15.08.2016 18:00","56575","57538"
"15.08.2016 18:00 - 15.08.2016 18:15","56326","57345"
"15.08.2016 18:15 - 15.08.2016 18:30","55669","57263"
"15.08.2016 18:30 - 15.08.2016 18:45","56086","57191"
"15.08.2016 18:45 - 15.08.2016 19:00","56240","57043"
"15.08.2016 19:00 - 15.08.2016 19:15","55434","56981"
"15.08.2016 19:15 - 15.08.2016 19:30","54923","56737"
"15.08.2016 19:30 - 15.08.2016 19:45","54735","56141"
"15.08.2016 19:45 - 15.08.2016 20:00","54792","55859"
"15.08.2016 20:00 - 15.08.2016 20:15","54008","55152"
"15.08.2016 20:15 - 15.08.2016 20:30","53237","54477"
"15.08.2016 20:30 - 15.08.2016 20:45","53077","54074"
"15.08.2016 20:45 - 15.08.2016 21:00","52266","54176"
"15.08.2016 21:00 - 15.08.2016 21:15","52693","54174"
"15.08.2016 21:15 - 15.08.2016 21:30","52527","54044"
"15.08.2016 21:30 - 15.08.2016 21:45","52383","53358"
"15.08.2016 21:45 - 15.08.2016 22:00","50696","52447"
"15.08.2016 22:00 - 15.08.2016 22:15","49943","51576"
"15.08.2016 22:15 - 15.08.2016 22:30","48729","50602"
"15.08.2016 22:30 - 15.08.2016 22:45","47479","49489"
"15.08.2016 22:45 - 15.08.2016 23:00","46605","48582"
"15.08.2016 23:00 - 15.08.2016 23:15","45697","47234"
"15.08.2016 23:15 - 15.08.2016 23:30","44962","46359"
"15.08.2016 23:30 - 15.08.2016 23:45","44070","45347"
"15.08.2016 23:45 - 16.08.2016 00:00","43361","44472"
"16.08.2016 00:00 - 16.08.2016 00:15","43129","43490"
"16.08.2016 00:15 - 16.08.2016 00:30","42750","42988"
"16.08.2016 00:30 - 16.08.2016 00:45","42315","42578"
"16.08.2016 00:45 - 16.08.2016 01:00","41977","41914"
"16.08.2016 01:00 - 16.08.2016 01:15","41419","41489"
"16.08.2016 01:15 - 16.08.2016 01:30","41069","41327"
"16.08.2016 01:30 - 16.08.2016 01:45","40748","41259"
"16.08.2016 01:45 - 16.08.2016 02:00","40538","40652"
"16.08.2016 02:00 - 16.08.2016 02:15","40230","40474"
"16.08.2016 02:15 - 16.08.2016 02:30","40060","40443"
"16.08.2016 02:30 - 16.08.2016 02:45","40043","40068"
"16.08.2016 02:45 - 16.08.2016 03:00","40081","40055"
"16.08.2016 03:00 - 16.08.2016 03:15","40204","40324"
"16.08.2016 03:15 - 16.08.2016 03:30","40206","40376"
"16.08.2016 03:30 - 16.08.2016 03:45","40326","40413"
"16.08.2016 03:45 - 16.08.2016 04:00","40405","40519"
"16.08.2016 04:00 - 16.08.2016 04:15","40682","41127"
"16.08.2016 04:15 - 16.08.2016 04:30","41038","41573"
"16.08.2016 04:30 - 16.08.2016 04:45","41398","41809"
"16.08.2016 04:45 - 16.08.2016 05:00","41729","42561"
"16.08.2016 05:00 - 16.08.2016 05:15","43080","43549"
"16.08.2016 05:15 - 16.08.2016 05:30","43745","44264"
"16.08.2016 05:30 - 16.08.2016 05:45","44732","45221"
"16.08.2016 05:45 - 16.08.2016 06:00","45886","46410"
"16.08.2016 06:00 - 16.08.2016 06:15","48419","49004"
"16.08.2016 06:15 - 16.08.2016 06:30","50278","50657"
"16.08.2016 06:30 - 16.08.2016 06:45","51743","51924"
"16.08.2016 06:45 - 16.08.2016 07:00","53074","53323"
"16.08.2016 07:00 - 16.08.2016 07:15","54684","55244"
"16.08.2016 07:15 - 16.08.2016 07:30","55639","56472"
"16.08.2016 07:30 - 16.08.2016 07:45","56738","57609"
"16.08.2016 07:45 - 16.08.2016 08:00","57798","58625"
"16.08.2016 08:00 - 16.08.2016 08:15","58765","60012"
"16.08.2016 08:15 - 16.08.2016 08:30","59155","60474"
"16.08.2016 08:30 - 16.08.2016 08:45","59593","61085"
"16.08.2016 08:45 - 16.08.2016 09:00","60035","61384"
"16.08.2016 09:00 - 16.08.2016 09:15","59928","61335"
"16.08.2016 09:15 - 16.08.2016 09:30","60464","61931"
"16.08.2016 09:30 - 16.08.2016 09:45","60851","62597"
"16.08.2016 09:45 - 16.08.2016 10:00","61357","63064"
"16.08.2016 10:00 - 16.08.2016 10:15","61473","63592"
"16.08.2016 10:15 - 16.08.2016 10:30","61652","64232"
"16.08.2016 10:30 - 16.08.2016 10:45","61998","64428"
"16.08.2016 10:45 - 16.08.2016 11:00","62249","65107"
"16.08.2016 11:00 - 16.08.2016 11:15","62501","65622"
"16.08.2016 11:15 - 16.08.2016 11:30","62912","65997"
"16.08.2016 11:30 - 16.08.2016 11:45","63476","66519"
"16.08.2016 11:45 - 16.08.2016 12:00","63243","66356"
"16.08.2016 12:00 - 16.08.2016 12:15","62871","65344"
"16.08.2016 12:15 - 16.08.2016 12:30","62641","65069"
"16.08.2016 12:30 - 16.08.2016 12:45","62387","65079"
"16.08.2016 12:45 - 16.08.2016 13:00","62403","65057"
"16.08.2016 13:00 - 16.08.2016 13:15","62093","64104"
"16.08.2016 13:15 - 16.08.2016 13:30","61878","64097"
"16.08.2016 13:30 - 16.08.2016 13:45","61318","63884"
"16.08.2016 13:45 - 16.08.2016 14:00","61102","63373"
"16.08.2016 14:00 - 16.08.2016 14:15","60677","63172"
"16.08.2016 14:15 - 16.08.2016 14:30","60593","62953"
"16.08.2016 14:30 - 16.08.2016 14:45","60488","62767"
"16.08.2016 14:45 - 16.08.2016 15:00","60190","62503"
"16.08.2016 15:00 - 16.08.2016 15:15","60331","62556"
"16.08.2016 15:15 - 16.08.2016 15:30","59800","62003"
"16.08.2016 15:30 - 16.08.2016 15:45","59566","61736"
"16.08.2016 15:45 - 16.08.2016 16:00","58791","60980"
"16.08.2016 16:00 - 16.08.2016 16:15","58736","59906"
"16.08.2016 16:15 - 16.08.2016 16:30","58611","59807"
"16.08.2016 16:30 - 16.08.2016 16:45","57944","59955"
"16.08.2016 16:45 - 16.08.2016 17:00","58093","59851"
"16.08.2016 17:00 - 16.08.2016 17:15","57814","59582"
"16.08.2016 17:15 - 16.08.2016 17:30","57857","59692"
"16.08.2016 17:30 - 16.08.2016 17:45","58138","59681"
